Tuotekoodi;Laatu;Määrittely;Tuotenimi;Paksuus;Tuoteryhmä;Lisänimi;Halkaisija;Seinämä;Muu mitta;Pinta;Yksikkö paino;Paineluokka;Lisätiedot;Toleranssi;Sisähalkaisija;Leveys;Paksuus;Korkeus/pituus;Eräkoko
1201115;AISI 316;"1 1/4""-1/2""";SUPISTUSNIPPA;0;Supistusnippa;;"1 1/4""";;"1/2""";;0,2;;;;;;;;1
1201116;AISI 316;"1 1/4""-3/4""";SUPISTUSNIPPA;0;Supistusnippa;;"1 1/4""";;"3/4""";;0,25;;;;;;;;1
1201117;AISI 316;"1 1/4""-1""";SUPISTUSNIPPA;0;Supistusnippa;;"1 1/4""";;"1""";;0,26;;;;;;;;1
1201117KRST;EN 1.4305/AISI 303;"1 1/4""-1""";SUPISTUSNIPPA;0;Supistusnippa;;"1 1/4""";;"1""";;0,26;;;;;;;;1
1201117N;AISI 316;"1 1/4""-1"" NPT";SUPISTUSNIPPA;0;Supistusnippa;;"1 1/4""";;"1""";;0,26;;NPT;;;;;;1
1201118;AISI 316;"1 1/2""-1/2""";SUPISTUSNIPPA;0;Supistusnippa;;"1 1/2""";;"1/2""";;0,28;;;;;;;;1
1201118N;AISI 316;"1 1/2""-1/2"" NPT";SUPISTUSNIPPA;0;Supistusnippa;Supistusnippa NPT;"1 1/2""";;"1/2""";;0,28;;NPT;;;;;;1
1201120;AISI 316;"1 1/2""-3/4""";SUPISTUSNIPPA;0;Supistusnippa;;"1 1/2""";;"3/4""";;0,3;;;;;;;;1
1201121;AISI 316;"1 1/2""-1""";SUPISTUSNIPPA;0;Supistusnippa;;"1 1/2""";;"1""";;0,3;;;;;;;;1
1201122;AISI 316;"1 1/2""-1 1/4""";SUPISTUSNIPPA;0;Supistusnippa;;"1 1/2""";;"1 1/4""";;0,29;;;;;;;;1
1201123;AISI 316;"2""-1/2""";SUPISTUSNIPPA;0;Supistusnippa;;"2""";;"1/2""";;0,52;;;;;;;;1
1201124;AISI 316;"2""-3/4""";SUPISTUSNIPPA;0;Supistusnippa;;"2""";;"3/4""";;0,52;;;;;;;;1
1201125;AISI 316;"2""-1""";SUPISTUSNIPPA;0;Supistusnippa;;"2""";;"1""";;0,5;;;;;;;;1
